date,value,series_id,series
2016-01-01,454.175,CUUR0000SAM,Medical CPI
2016-02-01,458.295,CUUR0000SAM,Medical CPI
2016-03-01,458.62,CUUR0000SAM,Medical CPI
2016-04-01,459.994,CUUR0000SAM,Medical CPI
2016-05-01,461.23,CUUR0000SAM,Medical CPI
2016-06-01,462.075,CUUR0000SAM,Medical CPI
2016-07-01,464.164,CUUR0000SAM,Medical CPI
2016-08-01,468.379,CUUR0000SAM,Medical CPI
2016-09-01,469.154,CUUR0000SAM,Medical CPI
2016-10-01,469.23,CUUR0000SAM,Medical CPI
2016-11-01,469.333,CUUR0000SAM,Medical CPI
2016-12-01,469.447,CUUR0000SAM,Medical CPI
2017-01-01,471.7,CUUR0000SAM,Medical CPI
2017-02-01,474.546,CUUR0000SAM,Medical CPI
2017-03-01,474.561,CUUR0000SAM,Medical CPI
2017-04-01,473.582,CUUR0000SAM,Medical CPI
2017-05-01,473.512,CUUR0000SAM,Medical CPI
2017-06-01,474.36,CUUR0000SAM,Medical CPI
2017-07-01,476.126,CUUR0000SAM,Medical CPI
2017-08-01,476.869,CUUR0000SAM,Medical CPI
2017-09-01,476.485,CUUR0000SAM,Medical CPI
2017-10-01,477.121,CUUR0000SAM,Medical CPI
2017-11-01,477.198,CUUR0000SAM,Medical CPI
2017-12-01,477.802,CUUR0000SAM,Medical CPI
2018-01-01,481.06,CUUR0000SAM,Medical CPI
2018-02-01,482.897,CUUR0000SAM,Medical CPI
2018-03-01,483.984,CUUR0000SAM,Medical CPI
2018-04-01,484.034,CUUR0000SAM,Medical CPI
2018-05-01,484.853,CUUR0000SAM,Medical CPI
2018-06-01,486.019,CUUR0000SAM,Medical CPI
2018-07-01,485.193,CUUR0000SAM,Medical CPI
2018-08-01,484.172,CUUR0000SAM,Medical CPI
2018-09-01,484.708,CUUR0000SAM,Medical CPI
2018-10-01,485.269,CUUR0000SAM,Medical CPI
2018-11-01,486.886,CUUR0000SAM,Medical CPI
2018-12-01,487.409,CUUR0000SAM,Medical CPI
2019-01-01,490.204,CUUR0000SAM,Medical CPI
2019-02-01,491.227,CUUR0000SAM,Medical CPI
2019-03-01,492.306,CUUR0000SAM,Medical CPI
2019-04-01,493.331,CUUR0000SAM,Medical CPI
2019-05-01,494.928,CUUR0000SAM,Medical CPI
2019-06-01,495.563,CUUR0000SAM,Medical CPI
2019-07-01,497.687,CUUR0000SAM,Medical CPI
2019-08-01,500.916,CUUR0000SAM,Medical CPI
2019-09-01,501.468,CUUR0000SAM,Medical CPI
2019-10-01,506.1,CUUR0000SAM,Medical CPI
2019-11-01,507.541,CUUR0000SAM,Medical CPI
2019-12-01,509.689,CUUR0000SAM,Medical CPI
2020-01-01,512.149,CUUR0000SAM,Medical CPI
2020-02-01,513.923,CUUR0000SAM,Medical CPI
2020-03-01,515.605,CUUR0000SAM,Medical CPI
2020-04-01,517.053,CUUR0000SAM,Medical CPI
2020-05-01,519.194,CUUR0000SAM,Medical CPI
2020-06-01,520.734,CUUR0000SAM,Medical CPI
2020-07-01,522.686,CUUR0000SAM,Medical CPI
2020-08-01,523.295,CUUR0000SAM,Medical CPI
2020-09-01,522.528,CUUR0000SAM,Medical CPI
